,Job_Titile,Job_URL,Company_URL,Company,Rating,Job_Tyoe,Job_description,Post_Date,City,State,ZipCode,Min_salary,Max_salary
31,Legal Compliance Analyst - Hybrid job,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Auw088v_g3iCQsAKrg-1ddR39RF1lm37BeTzwxg85fA8Tr9nBV1LXm8UQw3gDuiP94y0NlElMa_5iBAF6BLqTUmG4bQuSjP5ghDJhDzVB2fEWXUU348imDPAuyJBKgfE-XGD1QJ5lldTC5P9xgB3A-Xtfmur05mlsq1GK42edPNu-1zYlhfsfSD6ka13EX2yZWgx2vjfU8UEZroOlyWMmAGUDpMjfskOwgeyA9xhCxhmpNtZklhEPjTnj6FtyJPxzmH19UZDTNM88FY9GmvQlAHYRmQirjn-xfi-fDHOr340MnqXrmqEo-Jdg7N0wuea_iX_ayzNJcRnbjT1lqwg9avSrBAXGfO6y5UaSIXpYToI9LPMJtfKgN_8ddXln0vD2x_xxriJnk1frIdCZMLUBi9d73i4FD83wOI58SdkmE-4ujOFKQm_3k2vImRN8eA0UdoB1JkX3PoPYFibn5SDhiXSdJYin9p2YJ6Lq-Q9rueoDbgpmHrTs4&xkcb=SoCy-_M3WwjjXDRcDR0KbzkdCdPP&p=1&fvj=1&vjs=3,https://www.indeed.com/cmp/Odoo-Inc,Odoo Inc,4.5,Full-time,Odoo ERP system is enterprise resource planning software used company-wide for the management of business processes.,,Lake Orion,MI,48362,75000.0,110000.0
34,"Economic Analyst – Remote ***Guaranteed minimum of $100,000+ first year***",https://www.indeed.com/company/Augusta/jobs/Economic-Analyst-Guaranteed-Minimum-51506070750c5e98?fccid=da5dcf4845161c01&vjs=3,https://www.indeed.com/cmp/Augusta-7,Augusta Precious Metals,3.8,"Full-time
+1",We will provide in-house systems and compliance training.,12/09/22,South Paris,ME,4281,100000.0,99835.17476732162
38,Financial Analyst,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AXDli-LUjLVTGAiHoKFDxpNVnN0UctS-DvwNH_FNPWdUP0okFXHpekJiG_bzsiMThFb7c6cueQHQWSzbyRIgc2Fyi4wBgxgxB0PxbhIXaaC4Au9Ctnx7v32eaGGwDU2DvsgUqLnq6MuQhp34WUnzc3ec-_i4YUbqfvGswB9WbtoFR1w9WgnIGmFnsI5GyzhfTvxK84qQNBA7oz9T4UpWdFZDdwBu7zmtrFd_wuhige_GUqZSIIAzQfpam9srstJOm1UT5ezRGRj-zRybJ9He3xmftc8CXSenZAqNbeTwDt3GG9KeI7UCtBnI3oUS5Ot07I837-pQGxYdfj41v3JbuWgil1ku21r1dJ4m6A3GGWF9ZZ85mps09C5-kJYgiZjmyDsoSnozNqLAZdl1Er5s-DZNYsK-Kiv1tBYTczZjyWXxf8cTVMggefmo0lysYPd6v0BTuNPMk0ihFKTAqE256BIHKOh8LRa8GslOpKZM0bCQaOhj6uO0ZtLHIKvX_5WGCAClUHpmUBvhzsqq7-SnVM5lubS65egRrQgeNNrl2mFOpDI1-LGnd0&xkcb=SoB5-_M3WwjjXCRcDR0KbzkdCdPP&p=8&fvj=0&vjs=3,https://www.indeed.com/cmp/Maine-Machine-Products-Company,Maine Machine Products (MMPCo),3.8,Full-time,"We specialize in manufacturing uniquely designed high tolerance precision machined components and assemblies, with a focus on continuous improvement, on-time…",12/03/22,Denver,CO,80207 ,68641.78181076673,99835.17476732162
39,Health Policy Analyst,https://www.indeed.com/rc/clk?jk=e310b2feb1791c51&fccid=3e901f592b439cea&vjs=3,https://www.indeed.com/cmp/Centers-For-Disease-Control-and-Prevention,Centers for Disease Control and Prevention,4.2,"Full-time
+1",Public Trust/Moderate Background Investigation (5) is required.,12/12/22,Grand Island,NE,68801,89834.0,138868.0
44,Provider Data Analyst - Remote,https://www.indeed.com/rc/clk?jk=597c85460fde53b4&fccid=d3d3520998346837&vjs=3,https://www.indeed.com/cmp/UnitedHealth-Group,UnitedHealth Group,3.6,Full-time,E2E Solution Team Data analysts will be responsible for identifying and proposing solutions for systemically identified TAT misses.,12/12/22,Boston,MA,02116 ,2168.0,3856.0
46,Board Certified Behavior Analyst (BCBA)- New Clinic!,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ACaI7dvFj1kG90XpR0ROSX9mYROX8BPPfmEaZiqE7oXVp2H-l0f8bs2KjmXMdRf7LXBzxMG40MOX5HWWzDniqoUjA0HNW9jsfGZ4sJ9POG392Jl3CwAUSU8Gf714Ngpibi_bOy880Og9gCFoBBxXG3xInJM5kKEr3jU1xyYp5jvyJJvwrBYaQQx3iVy50AbP_b9LzUBEDOcGehEQK3hYeN57_2Eyrdkm24ANMUcLc1XL1dYqeV3nrOJ_sox5bENwfuwu6eRv-clVMqqclCvVt8CMDLZzPTRbdh3zro0INRCNJeNZG2WtzB2VQnCIplI89p54IAxSZnwd1GuC3ZgPxZjupdtWAT33yfj_vrhEBE-7MhcPiV3du52jWgnvFUB7I1xCm6d-QmH_5pEN5FAFQp9HKkN2fKk83h3rvtgkPZI29kTq02nFJy5mt9I1DaDMUfS5M8SR_fLqXGcqu81-mqp-eVadjNR5OstUrXomWSyeHCJMnUvFOYBDh2tynb9OGwUIPsDEo7yeOToVQAMyMM9nWCoQC4DEU=&xkcb=SoCp-_M3WwjhxPw9QZ0KbzkdCdPP&p=1&fvj=1&vjs=3,https://www.indeed.com/cmp/Stride-Autism-Centers,Stride Autism Centers,4.5,Full-time,Stride’s ABA program for preschool learners (ages 2-6) utilizes both structured and natural teaching strategies.,11/14/22,Lake Orion,MI,48362,75000.0,93500.0
47,Planning Analyst (Hybrid),https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ASgvb-ETMaHj4XoCHHEvyY-4yoogW6Q-x0jMS31WMKn2zXVelvK0gdvTvZBLTvOrIAFVAeWGnLwiXLmPBEO3agd6t1Y7IkUJ3SWGBfYdVg2SNTO-RxZT6ffS-pSD_5Rbn_bDt1s5xAxQUhMeH8PmqOFUpyKwvIkNCqRsM1iuSjEcCPwQg_ilxr2X1O4Mu6uuKKptrXCAzbQUVe_27qalN0mpi4FTyW9yXJwX4sU7Hl6oNgPFQS6xCTUj0unZsthoExjd6ROqKlgmm0rIO1fjDYhIo0muZLcBTYsWpc5eWP36F-0CCwPaB3PCE8k8N-CscL7ljvrb4p0DA3Cwwno8aCqV_KU6NI0khKPYf_RF4_TBRscPEGAkpPBLH93ef3fjA7zN1o5lj6VHfwY7yZcoOBFFexa25oWTXka9M1BLoY1jz5hB_vvZ6ltLYbmBJ4-QLqJ2JJkpaH4EchG879kDMzg_xPXvWASczeycNQmoKujJLmX5Gab6VPlLT8nv0ZYh3HMzXAhxGing==&xkcb=SoA0-_M3WwjhxPw9QZ0JbzkdCdPP&p=2&fvj=0&vjs=3,https://www.indeed.com/cmp/State-of-Connecticut,State of Connecticut - Department of Social...,3.9,Full-time,Exceptions are rare and limited to documented events that incapacitate a candidate during the entire duration of the job posting time period.,12/02/22,San Francisco,CA,94134 ,71147.0,92072.0
49,Development Acquisitions Analyst (Boston HQ),https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcdFMvJS11aVsYkZOaZSqftqsBWy6huSWRGM--e5jQFXK6lNsLAZ2K18mndoyWD8GvlW-vFw5N2Uq_bWjx8FDM5PsXAFMcCraaDDIS6bhOJylhSlxjVsUaeD8JZWGYFEkdgGuCFc9dzRKdis_bAyPQ3skPHr3tIbLVdB3Y7_nCbS-qC_b_RvOLRLW6K8XnuPJIUnXSyR_SQPCBJYnFb7tlzPCBcpY8OAHJ7QWkKN5MKDbPrWZ_U5zfestcdL5AtiLqgV8-Li5W3K-OttsmfTybEfnOpmvfx_Ta7gZVaGyDfZPtSUkZBECCXN2Gdi-Xcy_ofTTwSfQphiNQOn9_anf0l1Bh6v5gZLHNrAYJznwkWjI87pbSQ9OJagYzUmBuswgK32XbC-ijSNEteHVVfN-77Hm705T4pMK4ptFDN0KJ-rFFYSO_2-M69eeXGTg_ZdM5BqFsopqn8ty7kjX1XpHXqt_Z4dkPMiFjqBu9s4QzUZ9c4T7R6QbGKjkIDHX5GZBd3kR5eIM7mTqDAASmCLOiXBpv_AytZscXjkeILOaOvg==&xkcb=SoCT-_M3WwjhxOQ9QZ0LbzkdCdPP&p=4&fvj=0&vjs=3,https://www.indeed.com/cmp/Winncompanies,WinnCompanies,3.1,Full-time,"The Acquisitions Analyst is responsible for identifying, analyzing, and evaluating multifamily acquisition and development opportunities working in conjunction…",11/14/22,South Paris,ME,4281,68641.78181076673,99835.17476732162
50,Senior Financial Systems & Business Analyst,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CQY2tD94KLkahE5TnBjrmLhCHYUPcYwDi4JNotqGx4oaEJdgJs2CHAnP5QD5KKmHY54ouDdriid2fTf9f3dMP138iGInnARLp7fu1ZUb6EEKLp6CxZzR2GqEIEs0XH0naQPIZXejC9wuBmOHYpk9wo3DptEYh4W2--kXmjlNEdAQdfNzXZ0TfeEU0ADEBTYJt3L5H-Ac6mCJ5m9HlK3HO4-x1GDH4cDJr410h4l43laJKcXbCJUsLXis0hnVZxndnD5c0U8xF34Eu4_qgzUF2jbKLcN_iM5HHAqx-sbH9RhIYO6Yz7dwkKjEuaK1WHZG6SAYQmQwjaolVKYqQGZqf9eMYyqhhV_GOjOcBiE32nudl7IC3Sn87WBt6rNt3vakDtr5R_eo76BBKdSRbA_cxnigCkJxP3RoSu4bq-4jSGB9xB0wrxRzVOX5nwexVZWNsOEj883_6AltGv11kooXanEJTfkLHoQVUnhhEGS8gEqA==&xkcb=SoAn-_M3WwjhxOQ9QZ0KbzkdCdPP&p=5&fvj=1&vjs=3,https://www.indeed.com/cmp/Trimark-USA,TriMark USA,3.0,Full-time,FULL TIME | HYBRID (3 DAYS IN OFFICE) | BENEFITS INCLUDED.,12/10/22,Boston,MA,02109 ,68641.78181076673,99835.17476732162
53,Part-Time Compliance and Contract Analyst,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BitSvy1VB1g8smiwILH3tA1Vv6IYz76hZX1j0udeICGIQvk6OKI9o6CxYr9JRH4uYBsvX35it9-hQiRPth2nms7MxlTxFsBZTstlvQLaUeWDJ4ajOfQ3h_sSid1gyVcvyW79pcxszLKDL4aX-_GgVAmHXy2Tl4oYn5HIJqzQ7TCGcgihpq47EuuBWZQQh4fiDRcb4nITR8RCpyEsIN1oxa9PiEoZh273BcRf4IdZ24i5ghO-KhwgYT-q8MtHNZTMo9S8-mIN8eivJNvf46RR654JVFsKeIBPwKJ_C1JvrO3tYfljH3lFQaHdz150OBI8ymPlPBs91ldB2fMg7FpiuK0EZwE1sZ8-nlSzexfKuK38YJpLZXXdf2NGECEiM4AERteOWhX9gG2VLFs-vwqB9geUUW2OTxbI5eY3iT1bOH5w==&xkcb=SoAd-_M3WwjhxOQ9QZ0MbzkdCdPP&p=8&fvj=0&vjs=3,https://www.indeed.com/cmp/Foodguys,foodguys,3.2,Part-time,"A minimum of 5 years’ experience in a position reviewing complex legal and/or business documents (such as a paralegal or former executive), or a bachelor’s…",12/08/22,Denver,CO,80207 ,40.0,45.0
