Company_Id,Job ID,Job Position Name,Posted Date,Location,url
C0000258,R0006719,Field Management II,3/25/2019,Michigan-Remote,https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Sacramento-CA/Customer-Service-Representative_R0006885-1
C0000258,R0006707,Store Manager (Hourly)-808- Aurora East,3/25/2019,"Aurora, IL",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Providence-RI/RI-FLOATING-STORE-MANAGER_R0006882-1
C0000258,R0006414,Customer Service Rep - 4202,3/25/2019,,https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Oak Park-MI/Floating-Sales-and-Service-Associate---6665-Oak-Park_R0006860-1
C0000258,R0006387,Customer Service Representative - 5584,3/25/2019,,https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Saginaw-MI/Customer-Service-Representative-PT-7371-Saginaw_R0006824-1
C0000258,R0006580,Customer Service Representative,3/25/2019,"Largo, FL, More...",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/R0006821  /Customer-Service-Representative-PT-6655-Mt-Pleasant_Posted30DaysAgo-1
C0000258,R0006550,Customer Service Specialist 2340,3/25/2019,"Ponca City, OK",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Essexville-MI/Customer-Service-Representative-PT-7300-Essexville_R0006822-1
C0000258,R0006526,Customer Service Support,3/25/2019,"York, SC, More...",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Saginaw-MI/Customer-Service-Representative-PT-7321-Saginaw_R0006823-1
C0000258,R0006325,Store Manager,3/25/2019,Round Lake Beach-820,https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Saginaw-MI/Customer-Service-Representative-PT-5919-Saginaw_R0005209-1
C0000258,R0006610,Store Manager,3/25/2019,"Hallandale, FL",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/R0006819  /Customer-Service-Representative-PT-2761-Houghton-Lake_Posted30DaysAgo-1
C0000258,R0006612,Store Manager,3/25/2019,"Port Saint Lucie, FL",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Ludington-MI/Customer-Service-Representative-PT-7127-Ludington_R0006820-1
