,company
1348,Luxoft
1349,CoffeeBeans Consulting
1350,PhonePe
1351,Blockseed
1354,Maersk
1355,DuckTale IT Services Pvt Ltd
1356,Morgan Stanley
1358,Schneider Electric
1359,CreditAccess Grameen
1360,Squalas
1361,ION
1362,WebMD
1363,IBST Private Limited
1364,Apps Associates
1365,TGS the global skills
1366,Q2ebanking
1367,DS Smith
1368,mPower Software Services
1369,Motorola Solutions
1370,NPPD CARE
1371,PlusWealth Capital Management
1372,JLL
1374,Skill-Lync
1375,Capgemini
1376,Criteo
1377,Tech Mahindra Business Services Limited
1379,EY
1380,CareerLabs
1381,Alkegen
1382,Pulsus Group
1383,VELLOM INFOTECH
1384,Logicsoft International
1385,Bosch Group
1386,Arthur J. Gallagher
1387,FENG GROUP
1388,Standard Chartered
1389,Google
1390,Cityinfo Services
1391,Principal Global Services
1392,Milkyway Infotech Pvt. Ltd.
1393,Flex
1395,Falcon Smart IT
1396,Deloitte
1397,The Economist Newspaper Limited
1398,Mantras2Success consultants
1399,Excellence and Eminence LLP
1400,AIMLEAP Full-Stack Techies
1401,Lloyd's Register Group
1402,Barclays
1403,ART OF LIVING HUMAN RESOURCES
1405,Global Electronics
1408,Postman
1409,IronList
1410,eTeam InfoServices Pvt. Ltd
1411,AIMLEAP
1412,PlaySimple Games
1413,Value Research India
1414,Clearstate Pte. Ltd
1416,Adglobal360 India
1417,Barclays
1418,Bar Code India
1419,Turing
1420,NextNav
1421,McKinsey & Company
1422,PowerSchool Group LLC
1423,Citco
1424,Intercontinental Exchange
1425,Carlson Wagonlit Travel
1426,GO MO Group
1427,IDFC FIRST Bank
1428,HRhelpdesk
1429,Deloitte
1431,Amex
1432,Q UP APP- 3409Tech venture pvt. ltd
1433,PwC
1434,Paytm
1435,Deutsche Bank
1436,c3controls
1437,Société Générale
1438,ixigo
1439,Accenture
1440,InMobi
1441,YouGov
1442,Lingaro Group
1443,CarDekho
1444,Ameriprise Financial
1445,Oracle
1446,CedCommerce
1447,Deloitte
1448,Razorpod
1449,BCD Travel Corporate
